id;name;is_closed;url;review_count;rating;categories;city;state;zipcode
hrGdhXmRjZxfdVuJswNvSQ;The Ranch Restaurant;False;https://www.yelp.com/biz/the-ranch-restaurant-anaheim-3?adjust_creative=7HSD_ElH0JEr7gKDNC3cNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7HSD_ElH0JEr7gKDNC3cNQ;2884;4.5;{'alias': 'newamerican', 'title': 'American (New)'};Anaheim;CA;92805
H9pwo4XFhwezTh3UrttDCQ;Tortilla Jo's;False;https://www.yelp.com/biz/tortilla-jos-anaheim?adjust_creative=7HSD_ElH0JEr7gKDNC3cNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7HSD_ElH0JEr7gKDNC3cNQ;4846;4.0;{'alias': 'mexican', 'title': 'Mexican'};Anaheim;CA;92802

8vU53zv6K77w3dKjE2n9Ig;Naples Ristorante E Bar;False;https://www.yelp.com/biz/naples-ristorante-e-bar-anaheim?adjust_creative=7HSD_ElH0JEr7gKDNC3cNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7HSD_ElH0JEr7gKDNC3cNQ;3894;4.0;{'alias': 'italian', 'title': 'Italian'};Anaheim;CA;92802

c4VCB4HCurF-62vxxVWCkg;Uva Bar & Cafe;False;https://www.yelp.com/biz/uva-bar-and-cafe-anaheim-4?adjust_creative=7HSD_ElH0JEr7gKDNC3cNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7HSD_ElH0JEr7gKDNC3cNQ;1967;4.0;{'alias': 'bars', 'title': 'Bars'};Anaheim;CA;92802

CyBWEa8Tox_WLN8zYgRydw;The Fifth;False;https://www.yelp.com/biz/the-fifth-anaheim-2?adjust_creative=7HSD_ElH0JEr7gKDNC3cNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7HSD_ElH0JEr7gKDNC3cNQ;1649;4.0;{'alias': 'cocktailbars', 'title': 'Cocktail Bars'};Anaheim;CA;92802

HTf7kEAZZ4KkWmoxyeLq3Q;Flightdeck;False;https://www.yelp.com/biz/flightdeck-anaheim?adjust_creative=7HSD_ElH0JEr7gKDNC3cNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7HSD_ElH0JEr7gKDNC3cNQ;433;4.5;{'alias': 'amusementparks', 'title': 'Amusement Parks'};Anaheim;CA;92802

Vw1wC4Jrk3dTnr8V5uvFpA;Hotel Indigo Anaheim;False;https://www.yelp.com/biz/hotel-indigo-anaheim-anaheim?adjust_creative=7HSD_ElH0JEr7gKDNC3cNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7HSD_ElH0JEr7gKDNC3cNQ;375;4.0;{'alias': 'hotels', 'title': 'Hotels'};Anaheim;CA;92802

AhSfNqdqB2rNv6L35P15xQ;White House Banquets & Event Center;False;https://www.yelp.com/biz/white-house-banquets-and-event-center-anaheim?adjust_creative=7HSD_ElH0JEr7gKDNC3cNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7HSD_ElH0JEr7gKDNC3cNQ;132;5.0;{'alias': 'venues', 'title': 'Venues & Event Spaces'};Anaheim;CA;92804

